,Law,Comp Sci,Medical school,Physical sciences
1966,3.952991453,14.31623932,9.081196581,14.1987173
1967,4.273504274,11.64529915,9.925213023,14.09187969
1968,5.341880342,12.17948718,9.925213023,13.98504208
1969,6.837606838,12.82051282,9.284187382,14.09187969
1970,7.799145299,13.03418803,9.497862596,14.3055549
1971,10.04273504,13.67521368,11.31410191,15.16025576
1972,12.5,13.9957265,14.1987173,15.90811901
1973,16.23931624,14.95726496,17.29700789,16.33546943
1974,20.08547009,16.66666667,19.86111046,17.29700789
1975,23.93162393,18.8034188,22.1047002,19.0064096
1976,26.81623932,20.51282051,23.92093952,19.75427285
1977,28.20512821,23.71794872,24.88247798,20.5021361
1978,30.34188034,25.96153846,25.09615319,21.9978626
1979,32.58547009,28.20512821,25.63034123,23.06623866
1980,33.65384615,30.44871795,27.76709337,24.02777713
1981,35.8974359,32.58547009,29.26281986,25.09615319
1982,37.17948718,34.72222222,30.75854636,26.27136687
1983,38.14102564,36.32478632,31.399572,27.87393097
1984,39.1025641,37.07264957,32.68162328,29.15598225
1985,39.95726496,36.75213675,33.32264892,29.9038455
1986,39.42307692,35.8974359,34.07051217,30.11752072
1987,37.92735043,34.61538462,35.03205063,30.43803354
1988,42.09401709,32.69230769,36.1004267,31.61324721
1989,43.05555556,30.98290598,37.16880277,31.5064096
1990,42.84188034,30.23504274,37.91666601,31.93376003
1991,42.62820513,29.59401709,38.45085405,32.14743525
1992,42.94871795,28.95299145,39.94658054,33.10897371
1993,43.16239316,28.41880342,41.76281986,33.96367456
1994,43.91025641,28.52564103,41.97649507,35.13888824
1995,44.33760684,28.52564103,42.29700789,36.1004267
1996,44.97863248,27.77777778,42.83119593,37.27564037
1997,45.19230769,27.24358974,43.04487114,38.77136687
1998,46.04700855,27.35042735,43.36538396,39.1987173
1999,47.32905983,27.88461538,44.22008482,40.05341815
2000,48.71794872,27.99145299,45.60897371,41.12179422
2001,49.03846154,27.77777778,46.46367456,42.08333268
2002,48.18376068,27.45726496,47.21153781,42.61752072
2003,45.19230769,26.81623932,46.03632413,42.19017029
2004,45.51282051,25,47.21153781,42.19017029
2005,48.07692308,22.64957265,48.6004267,42.72435832
2006,47.32905983,20.61965812,48.49358909,42.08333268
2007,46.47435897,18.8034188,48.81410191,41.12179422
2008,46.79487179,17.94871795,48.17307627,41.22863183
2009,47.11538462,17.94871795,48.17307627,41.54914465
2010,47.11538462,18.05555556,47.74572584,41.22863183
